detectorid,starttime,volume,speed,occupancy,status,dqflags
1345,9/15/2011 0:00:00,0,,0,0,0
1345,9/15/2011 0:00:20,,,,0,0
1345,9/15/2011 0:00:40,0,,0,0,0
1345,9/15/2011 0:01:00,0,,0,0,0
1345,9/15/2011 0:01:20,0,,0,0,0
1345,9/15/2011 0:01:40,1,47,0,3,0
1345,9/15/2011 0:02:00,0,,0,0,0
1345,9/15/2011 0:02:20,0,,0,0,0
1345,9/15/2011 0:02:40,1,66,1,2,0
1345,9/15/2011 0:03:00,0,,0,0,0
1345,9/15/2011 0:03:20,0,,0,0,0
1345,9/15/2011 0:03:40,0,,0,0,0
1345,9/15/2011 0:04:00,0,,0,0,0
1345,9/15/2011 0:04:20,0,,0,0,0
1345,9/15/2011 0:04:40,1,66,0,3,0
1345,9/15/2011 0:05:00,0,,0,0,0
1345,9/15/2011 0:05:20,1,67,1,2,0
1345,9/15/2011 0:05:40,0,,0,0,0
1345,9/15/2011 0:06:00,0,,0,0,0
1345,9/15/2011 0:06:20,0,,0,0,0
1345,9/15/2011 0:06:40,0,,0,0,0
1345,9/15/2011 0:07:00,0,,0,0,0
1345,9/15/2011 0:07:20,0,,0,0,0
1345,9/15/2011 0:07:40,0,,0,0,0
1345,9/15/2011 0:08:00,0,,0,0,0
1345,9/15/2011 0:08:20,0,,0,0,0
1345,9/15/2011 0:08:40,0,,0,0,0
1345,9/15/2011 0:09:00,0,,0,0,0
1345,9/15/2011 0:09:20,0,,0,0,0
1345,9/15/2011 0:09:40,0,,0,0,0
1345,9/15/2011 0:10:00,0,,0,0,0
1345,9/15/2011 0:10:20,0,,0,0,0
1345,9/15/2011 0:10:40,0,,0,0,0
1345,9/15/2011 0:11:00,0,,0,0,0
1345,9/15/2011 0:11:20,1,67,1,2,0
1345,9/15/2011 0:11:40,2,55,2,2,0
1345,9/15/2011 0:12:00,2,56,1,2,0
1345,9/15/2011 0:12:20,0,,0,0,0
1345,9/15/2011 0:12:40,3,64,3,2,0
1345,9/15/2011 0:13:00,1,49,0,3,0
1345,9/15/2011 0:13:20,0,,0,0,0
1345,9/15/2011 0:13:40,0,,0,0,0
1345,9/15/2011 0:14:00,0,,0,0,0
1345,9/15/2011 0:14:20,0,,0,0,0
1345,9/15/2011 0:14:40,1,49,0,3,0
1345,9/15/2011 0:15:00,2,39,1,2,0
1345,9/15/2011 0:15:20,0,,0,0,0
1345,9/15/2011 0:15:40,0,,0,0,0
1345,9/15/2011 0:16:00,0,,0,0,0
1345,9/15/2011 0:16:20,0,,0,0,0
1345,9/15/2011 0:16:40,0,,0,0,0
1345,9/15/2011 0:17:00,3,64,2,2,0
1345,9/15/2011 0:17:20,0,,0,0,0
1345,9/15/2011 0:17:40,0,,0,0,0
1345,9/15/2011 0:18:00,1,49,0,3,0
1345,9/15/2011 0:18:20,0,,0,0,0
1345,9/15/2011 0:18:40,0,,0,0,0
1345,9/15/2011 0:19:00,0,,0,0,0
1345,9/15/2011 0:19:20,0,,0,0,0
1345,9/15/2011 0:19:40,0,,0,0,0
1345,9/15/2011 0:20:00,1,67,0,3,0
1345,9/15/2011 0:20:20,0,,0,0,0
1345,9/15/2011 0:20:40,0,,0,0,0
1345,9/15/2011 0:21:00,0,,0,0,0
1345,9/15/2011 0:21:20,0,,0,0,0
1345,9/15/2011 0:21:40,0,,0,0,0
1345,9/15/2011 0:22:00,0,,0,0,0
1345,9/15/2011 0:22:20,1,67,1,2,0
1345,9/15/2011 0:22:40,0,,0,0,0
1345,9/15/2011 0:23:00,0,,0,0,0
1345,9/15/2011 0:23:20,0,,0,0,0
1345,9/15/2011 0:23:40,1,63,1,2,0
1345,9/15/2011 0:24:00,0,,0,0,0
1345,9/15/2011 0:24:20,0,,0,0,0
1345,9/15/2011 0:24:40,1,40,0,3,0
1345,9/15/2011 0:25:00,0,,0,0,0
1345,9/15/2011 0:25:20,0,,0,0,0
1345,9/15/2011 0:25:40,0,,0,0,0
1345,9/15/2011 0:26:00,1,49,0,3,0
1345,9/15/2011 0:26:20,1,50,0,3,0
1345,9/15/2011 0:26:40,1,67,0,3,0
1345,9/15/2011 0:27:00,1,66,1,2,0
1345,9/15/2011 0:27:20,0,,0,0,0
1345,9/15/2011 0:27:40,0,,0,0,0
1345,9/15/2011 0:28:00,0,,0,0,0
1345,9/15/2011 0:28:20,0,,0,0,0
1345,9/15/2011 0:28:40,0,,0,0,0
1345,9/15/2011 0:29:00,1,62,0,3,0
1345,9/15/2011 0:29:20,0,,0,0,0
1345,9/15/2011 0:29:40,0,,0,0,0
1345,9/15/2011 0:30:00,0,,0,0,0
1345,9/15/2011 0:30:20,0,,0,0,0
1345,9/15/2011 0:30:40,1,62,1,2,0
1345,9/15/2011 0:31:00,0,,0,0,0
1345,9/15/2011 0:31:20,1,63,1,2,0
1345,9/15/2011 0:31:40,0,,0,0,0
1345,9/15/2011 0:32:00,0,,0,0,0
1345,9/15/2011 0:32:20,0,,0,0,0
1345,9/15/2011 0:32:40,0,,0,0,0
1345,9/15/2011 0:33:00,1,105,0,3,4
1345,9/15/2011 0:33:20,0,,0,0,0
1345,9/15/2011 0:33:40,0,,0,0,0
1345,9/15/2011 0:34:00,0,,0,0,0
1345,9/15/2011 0:34:20,0,,0,0,0
1345,9/15/2011 0:34:40,0,,0,0,0
1345,9/15/2011 0:35:00,0,,0,0,0
1345,9/15/2011 0:35:20,1,44,0,3,0
1345,9/15/2011 0:35:40,0,,0,0,0
1345,9/15/2011 0:36:00,1,67,0,3,0
1345,9/15/2011 0:36:20,0,,0,0,0
1345,9/15/2011 0:36:40,0,,0,0,0
1345,9/15/2011 0:37:00,0,,0,0,0
1345,9/15/2011 0:37:20,1,67,0,3,0
1345,9/15/2011 0:37:40,1,0,0,3,24
1345,9/15/2011 0:38:00,0,,0,0,0
1345,9/15/2011 0:38:20,0,,0,0,0
1345,9/15/2011 0:38:40,0,,0,0,0
1345,9/15/2011 0:39:00,0,,0,0,0
1345,9/15/2011 0:39:20,0,,0,0,0
1345,9/15/2011 0:39:40,1,67,1,2,0
1345,9/15/2011 0:40:00,0,,0,0,0
1345,9/15/2011 0:40:20,0,,0,0,0
1345,9/15/2011 0:40:40,0,,0,0,0
1345,9/15/2011 0:41:00,0,,0,0,0
1345,9/15/2011 0:41:20,0,,0,0,0
1345,9/15/2011 0:41:40,0,,0,0,0
1345,9/15/2011 0:42:00,0,,0,0,0
1345,9/15/2011 0:42:20,0,,0,0,0
1345,9/15/2011 0:42:40,1,68,0,3,0
1345,9/15/2011 0:43:00,0,,0,0,0
1345,9/15/2011 0:43:20,0,,0,0,0
1345,9/15/2011 0:43:40,0,,0,0,0
1345,9/15/2011 0:44:00,1,67,0,3,0
1345,9/15/2011 0:44:20,3,67,2,2,0
1345,9/15/2011 0:44:40,1,67,0,3,0
1345,9/15/2011 0:45:00,0,,0,0,0
1345,9/15/2011 0:45:20,0,,0,0,0
1345,9/15/2011 0:45:40,0,,0,0,0
1345,9/15/2011 0:46:00,0,,0,0,0
1345,9/15/2011 0:46:20,0,,0,0,0
1345,9/15/2011 0:46:40,0,,0,0,0
1345,9/15/2011 0:47:00,0,,0,0,0
1345,9/15/2011 0:47:20,0,,0,0,0
1345,9/15/2011 0:47:40,0,,0,0,0
1345,9/15/2011 0:48:00,0,,0,0,0
1345,9/15/2011 0:48:20,0,,0,0,0
1345,9/15/2011 0:48:40,0,,0,0,0
1345,9/15/2011 0:49:00,0,,0,0,0
1345,9/15/2011 0:49:20,0,,0,0,0
1345,9/15/2011 0:49:40,0,,0,0,0
1345,9/15/2011 0:50:00,0,,0,0,0
1345,9/15/2011 0:50:20,0,,0,0,0
1345,9/15/2011 0:50:40,0,,0,0,0
1345,9/15/2011 0:51:00,0,,0,0,0
1345,9/15/2011 0:51:20,0,,0,0,0
1345,9/15/2011 0:51:40,1,63,1,2,0
1345,9/15/2011 0:52:00,0,,0,0,0
1345,9/15/2011 0:52:20,0,,0,0,0
1345,9/15/2011 0:52:40,0,,0,0,0
1345,9/15/2011 0:53:00,0,,0,0,0
1345,9/15/2011 0:53:20,0,,0,0,0
1345,9/15/2011 0:53:40,1,63,1,2,0
1345,9/15/2011 0:54:00,0,,0,0,0
1345,9/15/2011 0:54:20,0,,0,0,0
1345,9/15/2011 0:54:40,0,,0,0,0
1345,9/15/2011 0:55:00,2,83,1,2,0
1345,9/15/2011 0:55:20,0,,0,0,0
1345,9/15/2011 0:55:40,0,,0,0,0
1345,9/15/2011 0:56:00,0,,0,0,0
1345,9/15/2011 0:56:20,0,,0,0,0
1345,9/15/2011 0:56:40,0,,0,0,0
1345,9/15/2011 0:57:00,0,,0,0,0
1345,9/15/2011 0:57:20,0,,0,0,0
1345,9/15/2011 0:57:40,0,,0,0,0
1345,9/15/2011 0:58:00,0,,0,0,0
1345,9/15/2011 0:58:20,0,,0,0,0
1345,9/15/2011 0:58:40,0,,0,0,0
1345,9/15/2011 0:59:00,0,,0,0,0
1345,9/15/2011 0:59:20,1,68,0,3,0
1345,9/15/2011 0:59:40,1,50,2,2,0
1346,9/15/2011 0:00:00,0,,0,0,0
1346,9/15/2011 0:00:20,,,,0,0
1346,9/15/2011 0:00:40,1,94,0,3,0
1346,9/15/2011 0:01:00,1,62,0,3,0
1346,9/15/2011 0:01:20,2,65,2,2,0
1346,9/15/2011 0:01:40,1,50,4,2,0
1346,9/15/2011 0:02:00,0,,0,0,0
1346,9/15/2011 0:02:20,1,67,0,3,0
1346,9/15/2011 0:02:40,2,59,2,2,0
1346,9/15/2011 0:03:00,2,64,2,2,0
1346,9/15/2011 0:03:20,0,,0,0,0
1346,9/15/2011 0:03:40,1,66,0,3,0
1346,9/15/2011 0:04:00,3,61,6,2,0
1346,9/15/2011 0:04:20,0,,0,0,0
1346,9/15/2011 0:04:40,3,67,3,2,0
1346,9/15/2011 0:05:00,0,,0,0,0
1346,9/15/2011 0:05:20,1,63,1,2,0
1346,9/15/2011 0:05:40,1,67,1,2,0
1346,9/15/2011 0:06:00,0,,0,0,0
1346,9/15/2011 0:06:20,2,67,2,2,0
1346,9/15/2011 0:06:40,0,,0,0,0
1346,9/15/2011 0:07:00,0,,0,0,0
1346,9/15/2011 0:07:20,2,67,2,2,0
1346,9/15/2011 0:07:40,3,53,10,2,0
1346,9/15/2011 0:08:00,4,61,4,2,0
1346,9/15/2011 0:08:20,3,64,3,2,0
1346,9/15/2011 0:08:40,3,64,4,2,0
1346,9/15/2011 0:09:00,2,67,2,2,0
1346,9/15/2011 0:09:20,3,62,4,2,0
1346,9/15/2011 0:09:40,1,63,1,2,0
1346,9/15/2011 0:10:00,0,,0,0,0
1346,9/15/2011 0:10:20,1,67,0,3,0
1346,9/15/2011 0:10:40,1,66,1,2,0
