nohup: ignoring input
2016/03/12 19:38:01 0
2016/03/12 19:38:33 10000
2016/03/12 19:38:53 20000
2016/03/12 19:39:14 30000
2016/03/12 19:39:35 40000
2016/03/12 19:39:55 50000
2016/03/12 19:40:15 60000
2016/03/12 19:40:36 70000
2016/03/12 19:40:57 80000
2016/03/12 19:41:17 90000
2016/03/12 19:41:40 100000
2016/03/12 19:42:02 110000
2016/03/12 19:42:25 120000
2016/03/12 19:42:50 130000
2016/03/12 19:43:15 140000
2016/03/12 19:43:39 150000
2016/03/12 19:44:00 160000
2016/03/12 19:44:22 170000
2016/03/12 19:44:44 180000
2016/03/12 19:45:06 190000
2016/03/12 19:45:26 200000
2016/03/12 19:45:46 210000
2016/03/12 19:46:07 220000
2016/03/12 19:46:28 230000
2016/03/12 19:46:48 240000
2016/03/12 19:47:07 250000
2016/03/12 19:47:26 260000
2016/03/12 19:47:47 270000
2016/03/12 19:48:08 280000
2016/03/12 19:48:30 290000
2016/03/12 19:48:51 300000
2016/03/12 19:49:13 310000
2016/03/12 19:49:33 320000
2016/03/12 19:49:52 330000
2016/03/12 19:50:12 340000
2016/03/12 19:50:32 350000
2016/03/12 19:50:52 360000
2016/03/12 19:51:13 370000
2016/03/12 19:51:33 380000
2016/03/12 19:51:53 390000
2016/03/12 19:52:13 400000
2016/03/12 19:52:34 410000
2016/03/12 19:52:55 420000
2016/03/12 19:53:16 430000
2016/03/12 19:53:37 440000
2016/03/12 19:53:57 450000
2016/03/12 19:54:18 460000
2016/03/12 19:54:39 470000
2016/03/12 19:55:01 480000
2016/03/12 19:55:23 490000
2016/03/12 19:55:45 500000
2016/03/12 19:56:06 510000
2016/03/12 19:56:28 520000
2016/03/12 19:56:48 530000
2016/03/12 19:57:10 540000
2016/03/12 19:57:31 550000
2016/03/12 19:57:52 560000
2016/03/12 19:58:13 570000
2016/03/12 19:58:34 580000
2016/03/12 19:58:55 590000
2016/03/12 19:59:16 600000
2016/03/12 19:59:36 610000
2016/03/12 19:59:56 620000
2016/03/12 20:00:16 630000
2016/03/12 20:00:35 640000
2016/03/12 20:00:56 650000
2016/03/12 20:01:17 660000
2016/03/12 20:01:40 670000
2016/03/12 20:02:01 680000
2016/03/12 20:02:21 690000
2016/03/12 20:02:42 700000
2016/03/12 20:03:03 710000
2016/03/12 20:03:24 720000
2016/03/12 20:03:46 730000
2016/03/12 20:04:08 740000
2016/03/12 20:04:29 750000
2016/03/12 20:04:50 760000
2016/03/12 20:05:11 770000
2016/03/12 20:05:33 780000
2016/03/12 20:05:55 790000
2016/03/12 20:06:16 800000
2016/03/12 20:06:39 810000
2016/03/12 20:07:01 820000
2016/03/12 20:07:22 830000
2016/03/12 20:07:42 840000
2016/03/12 20:08:04 850000
2016/03/12 20:08:25 860000
2016/03/12 20:08:46 870000
2016/03/12 20:09:07 880000
2016/03/12 20:09:29 890000
2016/03/12 20:09:54 900000
2016/03/12 20:10:14 910000
2016/03/12 20:10:35 920000
2016/03/12 20:10:56 930000
2016/03/12 20:11:17 940000
2016/03/12 20:11:37 950000
2016/03/12 20:11:59 960000
2016/03/12 20:12:21 970000
2016/03/12 20:12:41 980000
2016/03/12 20:13:04 990000
2016/03/12 20:13:24 1000000
2016/03/12 20:13:46 1010000
2016/03/12 20:14:07 1020000
2016/03/12 20:14:29 1030000
2016/03/12 20:14:51 1040000
2016/03/12 20:15:12 1050000
2016/03/12 20:15:34 1060000
2016/03/12 20:15:54 1070000
2016/03/12 20:16:16 1080000
2016/03/12 20:16:37 1090000
2016/03/12 20:16:58 1100000
2016/03/12 20:17:19 1110000
2016/03/12 20:17:40 1120000
2016/03/12 20:18:02 1130000
2016/03/12 20:18:23 1140000
2016/03/12 20:18:44 1150000
2016/03/12 20:19:06 1160000
2016/03/12 20:19:28 1170000
2016/03/12 20:19:50 1180000
2016/03/12 20:20:12 1190000
2016/03/12 20:20:35 1200000
2016/03/12 20:20:56 1210000
